user_id,traveler_type,n_travelers,budget_inr,mood_1,mood_2,mood_3,weather_pref,travel_month,trip_lane,package_id,package_name,destination,country,package_lane,package_price_inr,total_est_cost,within_budget,mood_match_count,weather_match,lane_match,duration_days,pkg_rating,booked,relevance_score
17,couple,2,150000,Party,Adventurous,Cultural,Temperate,Apr,India,63,Hokkaido Snow & Onsen,Japan,Japan,International,115000,230000,0,1,0,0,6,4.7,0,42.51
18,family,5,40000,Cultural,Relaxed,Spiritual,Temperate,Dec,International,55,Dubai Heritage & Culture Tour,Dubai,UAE,International,70000,280000,0,2,0,1,4,4.5,1,86.19
19,couple,2,150000,Adventurous,Party,,Cool,May,International,14,Udaipur Heritage Spiritual Walk,Udaipur,India,India,28000,56000,1,0,1,0,4,4.5,1,72.21
20,solo,1,80000,Relaxed,,,Cool,Mar,International,71,Sri Lanka Heritage Express,Sri Lanka,Sri Lanka,International,42000,42000,1,1,0,1,6,4.6,1,100
21,family,3,180000,Party,,,Cold,Aug,International,28,Amritsar Golden Temple Pilgrimage,Amritsar,India,India,12000,28800,1,0,0,0,3,4.7,1,65.39
22,family,3,120000,Relaxed,,,Rainy,Dec,,72,Sri Lanka Scenic Train & Hike,Sri Lanka,Sri Lanka,International,38000,91200,1,1,0,1,5,4.7,0,100
23,solo,1,50000,Spiritual,Adventurous,Relaxed,Rainy,Feb,India,41,Maldives Overwater Villa Escape,Maldives,Maldives,International,180000,180000,0,1,0,0,5,4.9,0,38.19
24,family,5,80000,Spiritual,Relaxed,Cultural,Temperate,Nov,,31,Ranthambore Tiger Safari,Ranthambore,India,India,38000,152000,0,1,0,1,4,4.7,1,78.72
25,friends,4,100000,Romantic,,,Temperate,Mar,,41,Maldives Overwater Villa Escape,Maldives,Maldives,International,180000,576000,0,1,0,1,5,4.9,1,82.31
26,solo,1,80000,Relaxed,,,Rainy,Apr,,10,Jaipur Royal Heritage Tour,Jaipur,India,India,22000,22000,1,0,0,1,4,4.6,1,86.75
27,solo,1,30000,Party,,,Rainy,Dec,International,45,Mauritius Adventure Circuit,Mauritius,Mauritius,International,130000,130000,0,1,0,1,6,4.6,1,80.36
28,friends,3,100000,Relaxed,,,Rainy,Mar,International,2,Goa Party & Water Sports Rush,Goa,India,India,35000,84000,1,0,0,0,5,4.3,0,47.72
29,couple,2,200000,Romantic,Spiritual,Party,Cold,Jan,India,37,Kashmir Paradise on Earth,Kashmir,India,India,55000,110000,1,2,1,1,6,4.8,0,100
30,couple,2,200000,Spiritual,Party,,Rainy,Jan,India,43,Maldives Budget Lagoon Stay,Maldives,Maldives,International,90000,180000,1,0,0,0,4,4.5,0,49.74
31,couple,2,150000,Adventurous,Party,Cultural,Warm,May,International,10,Jaipur Royal Heritage Tour,Jaipur,India,India,22000,44000,1,2,1,0,4,4.6,1,94.06
32,couple,2,20000,Spiritual,Party,,Rainy,Dec,India,46,Bangkok City Pulse,Bangkok,Thailand,International,45000,90000,0,1,0,0,5,4.5,0,39.86
33,couple,2,20000,Cultural,,,Cold,Jul,,31,Ranthambore Tiger Safari,Ranthambore,India,India,38000,76000,0,0,0,1,4,4.7,1,75.0
34,family,4,80000,Party,,,Cold,May,India,14,Udaipur Heritage Spiritual Walk,Udaipur,India,India,28000,89600,0,0,0,1,4,4.5,0,84.21
35,family,4,40000,Romantic,Spiritual,,Temperate,Nov,,25,Jaisalmer Desert Magic,Jaisalmer,India,India,25000,80000,0,1,0,1,4,4.6,1,68.21
36,couple,2,20000,Party,Romantic,Spiritual,Temperate,Oct,,34,Hampi Ruins & Bouldering,Hampi,India,India,16000,32000,0,1,0,1,4,4.6,0,64.85
37,couple,2,200000,Relaxed,Spiritual,,Rainy,Nov,,74,Singapore City Marvel,Singapore,Singapore,International,85000,170000,1,1,0,1,5,4.6,0,100
38,solo,1,30000,Relaxed,Romantic,Spiritual,Temperate,Jun,International,56,Dubai Honeymoon Extravaganza,Dubai,UAE,International,175000,175000,0,1,0,1,6,4.8,1,64.84
39,couple,2,200000,Cultural,Adventurous,,Rainy,Oct,International,71,Sri Lanka Heritage Express,Sri Lanka,Sri Lanka,International,42000,84000,1,1,1,1,6,4.6,1,100
40,family,4,180000,Cultural,Adventurous,,Rainy,Aug,,27,Ooty Nilgiri Hills Escape,Ooty,India,India,22000,70400,1,0,0,1,4,4.3,0,98.07
41,friends,5,60000,Romantic,Adventurous,Spiritual,Cool,Jan,India,11,Jaipur Luxury Palace Stay,Jaipur,India,India,75000,300000,0,1,1,1,5,4.8,1,91.43
42,family,5,250000,Cultural,,,Temperate,Aug,International,10,Jaipur Royal Heritage Tour,Jaipur,India,India,22000,88000,1,1,0,0,4,4.6,0,94.53
43,solo,1,20000,Spiritual,Party,Relaxed,Rainy,Apr,India,1,Goa Essentials Escape,Goa,India,India,27000,27000,0,2,0,1,4,4.5,1,76.09
44,friends,6,200000,Spiritual,Party,,Cool,Dec,International,72,Sri Lanka Scenic Train & Hike,Sri Lanka,Sri Lanka,International,38000,182400,1,0,1,1,5,4.7,1,100
45,friends,6,60000,Party,Relaxed,,Cold,Apr,International,32,Mysore Palace & Culture Tour,Mysore,India,India,18000,86400,0,1,0,0,3,4.5,0,50.29
46,couple,2,100000,Adventurous,Cultural,Relaxed,Temperate,Jul,International,11,Jaipur Luxury Palace Stay,Jaipur,India,India,75000,150000,0,0,0,0,5,4.8,0,45.54
47,family,3,80000,Party,Spiritual,,Warm,Oct,International,70,Santorini Sunset Escape,Europe,Europe,International,195000,468000,0,0,1,1,6,4.9,1,73.08
48,family,4,80000,Party,Cultural,,Warm,Jul,International,50,Phuket Island Life,Phuket,Thailand,International,58000,185600,0,1,1,1,6,4.6,1,84.36
49,couple,2,150000,Relaxed,Party,Cultural,Warm,Nov,International,52,Chiang Mai Culture & Temples,Chiang Mai,Thailand,International,38000,76000,1,2,1,1,5,4.6,0,100
50,friends,4,100000,Party,Romantic,,Temperate,May,India,49,Pattaya Water Sports & Islands,Pattaya,Thailand,International,35000,112000,0,0,0,0,4,4.3,0,52.75
51,solo,1,20000,Relaxed,Cultural,Spiritual,Cool,Apr,India,61,Kyoto Traditional Japan,Japan,Japan,International,105000,105000,0,2,1,0,6,4.8,1,73.33
52,couple,2,70000,Adventurous,Spiritual,,Rainy,Dec,,15,Kerala Backwaters Bliss,Kerala,India,India,45000,90000,0,1,1,1,6,4.7,0,96.8
53,friends,3,30000,Spiritual,Party,,Temperate,Dec,India,21,Andaman Honeymoon Escape,Andaman,India,India,80000,192000,0,0,0,1,7,4.8,0,61.4
54,couple,2,70000,Spiritual,Relaxed,Cultural,Cold,Sep,International,81,Zermatt Matterhorn Snow Escape,Switzerland,Switzerland,International,210000,420000,0,1,1,1,6,4.8,1,88.09
55,friends,3,150000,Party,,,Cold,Nov,International,9,Shimla Couple Winter Escape,Shimla,India,India,42000,100800,1,0,1,0,5,4.5,1,69.88
56,family,4,250000,Romantic,Adventurous,,Warm,May,International,35,Kochi Heritage Coastal Tour,Kochi,India,India,22000,70400,1,0,1,0,4,4.4,0,69.57
57,family,3,180000,Adventurous,Party,,Cool,Jun,International,60,Japan City & Culture Grand Tour,Japan,Japan,International,125000,300000,0,2,1,1,8,4.8,1,95.23
58,solo,1,20000,Party,Cultural,Adventurous,Temperate,Nov,,36,"Pune Forts, Food & Nightlife",Pune,India,India,18000,18000,1,2,0,1,3,4.2,1,100
59,solo,1,50000,Adventurous,Romantic,Spiritual,Temperate,Sep,,3,Goa Luxury Couple Retreat,Goa,India,India,65000,65000,0,1,0,1,6,4.7,1,76.15
60,family,4,120000,Relaxed,,,Cool,Jun,India,46,Bangkok City Pulse,Bangkok,Thailand,International,45000,144000,0,0,0,0,5,4.5,0,58.26
61,couple,2,200000,Romantic,Spiritual,,Rainy,Oct,International,69,Amsterdam Canals & Culture,Europe,Europe,International,150000,300000,0,0,0,1,5,4.6,1,65.69
62,couple,2,200000,Adventurous,Romantic,Relaxed,Warm,Sep,International,47,Bangkok Temple & Culture Tour,Bangkok,Thailand,International,38000,76000,1,0,1,1,4,4.6,1,100
63,family,3,250000,Party,Cultural,,Temperate,Jun,India,17,Kerala Wildlife & Hills Circuit,Kerala,India,India,40000,96000,1,0,0,1,6,4.6,1,90.34
64,solo,1,10000,Cultural,Relaxed,Adventurous,Cool,Oct,International,15,Kerala Backwaters Bliss,Kerala,India,India,45000,45000,0,1,0,0,6,4.7,0,49.92
65,couple,2,100000,Spiritual,Cultural,Adventurous,Rainy,Jul,International,11,Jaipur Luxury Palace Stay,Jaipur,India,India,75000,150000,0,0,0,0,5,4.8,0,44.76
66,family,5,250000,Spiritual,,,Warm,Apr,,76,KL City & Petronas Highlights,Malaysia,Malaysia,International,45000,180000,1,0,1,1,5,4.4,0,100
67,couple,2,150000,Adventurous,,,Warm,Jul,International,11,Jaipur Luxury Palace Stay,Jaipur,India,India,75000,150000,1,0,1,0,5,4.8,0,69.45
68,friends,6,60000,Cultural,Spiritual,,Cool,Jul,India,37,Kashmir Paradise on Earth,Kashmir,India,India,55000,264000,0,1,1,1,6,4.8,1,82.89
69,friends,4,30000,Romantic,,,Rainy,Dec,,20,Andaman Island Paradise,Andaman,India,India,55000,176000,0,1,0,1,6,4.7,1,89.37
70,family,5,250000,Party,Relaxed,,Rainy,Jan,International,39,Munnar Tea Estate Escape,Munnar,India,India,28000,112000,1,1,1,0,4,4.6,1,79.28
71,friends,3,60000,Spiritual,Cultural,Relaxed,Cold,Oct,India,78,Penang Street Food & Heritage,Malaysia,Malaysia,International,38000,91200,0,1,0,0,4,4.6,0,44.71
72,family,3,250000,Cultural,Party,,Warm,Aug,International,67,Rome Colosseum & Culture,Europe,Europe,International,155000,372000,0,1,1,1,5,4.7,1,95.3
73,solo,1,50000,Party,Romantic,Cultural,Rainy,Jan,International,42,Maldives Dive & Snorkel Explorer,Maldives,Maldives,International,150000,150000,0,0,0,1,6,4.8,0,64.62
74,solo,1,10000,Spiritual,,,Cold,Oct,International,52,Chiang Mai Culture & Temples,Chiang Mai,Thailand,International,38000,38000,0,1,0,1,5,4.6,1,87.0
75,couple,2,40000,Party,Cultural,,Warm,Jan,,7,Manali Extreme Trekking Expedition,Manali,India,India,40000,80000,0,0,0,1,7,4.5,0,63.57
76,solo,1,20000,Party,,,Warm,Nov,India,71,Sri Lanka Heritage Express,Sri Lanka,Sri Lanka,International,42000,42000,0,0,1,0,6,4.6,0,54.83
77,friends,5,150000,Adventurous,Party,,Rainy,Mar,International,64,China Great Wall & Heritage,China,China,International,100000,400000,0,1,0,1,7,4.6,1,69.73
78,solo,1,30000,Romantic,Relaxed,Cultural,Cold,Oct,,18,Taj Mahal & Mughal Heritage,Agra,India,India,18000,18000,1,2,0,1,3,4.6,1,100
79,couple,2,100000,Romantic,Spiritual,,Rainy,Jul,International,63,Hokkaido Snow & Onsen,Japan,Japan,International,115000,230000,0,1,0,1,6,4.7,1,89.1
80,family,4,40000,Cultural,Party,,Temperate,Jul,,31,Ranthambore Tiger Safari,Ranthambore,India,India,38000,121600,0,0,0,1,4,4.7,1,67.93
81,family,3,250000,Romantic,Relaxed,Party,Warm,Sep,International,20,Andaman Island Paradise,Andaman,India,India,55000,132000,1,2,1,0,6,4.7,1,96.59
82,solo,1,30000,Cultural,Party,Relaxed,Cold,Nov,,20,Andaman Island Paradise,Andaman,India,India,55000,55000,0,1,0,1,6,4.7,1,70.47
83,family,5,40000,Cultural,,,Cold,Apr,,41,Maldives Overwater Villa Escape,Maldives,Maldives,International,180000,720000,0,0,0,1,5,4.9,1,64.83
84,family,5,120000,Relaxed,,,Cold,Jan,International,13,Udaipur Lake Romance,Udaipur,India,India,58000,232000,0,1,0,0,5,4.8,1,66.72
85,couple,2,100000,Cultural,Adventurous,Spiritual,Cool,Feb,,56,Dubai Honeymoon Extravaganza,Dubai,UAE,International,175000,350000,0,0,0,1,6,4.8,0,70.39
86,couple,2,200000,Party,Romantic,,Warm,Aug,International,75,Singapore Luxury & Leisure,Singapore,Singapore,International,110000,220000,0,1,1,1,5,4.7,1,100
87,solo,1,80000,Cultural,Party,,Cold,Aug,International,21,Andaman Honeymoon Escape,Andaman,India,India,80000,80000,1,0,0,0,7,4.8,0,61.27
88,solo,1,80000,Spiritual,Romantic,,Cold,Jan,,62,Osaka Food & Fun Festival,Japan,Japan,International,90000,90000,0,0,0,1,5,4.7,1,94.96
89,solo,1,20000,Romantic,Adventurous,Spiritual,Rainy,May,,2,Goa Party & Water Sports Rush,Goa,India,India,35000,35000,0,1,0,1,5,4.3,1,71.48
90,solo,1,50000,Spiritual,,,Cold,Dec,India,18,Taj Mahal & Mughal Heritage,Agra,India,India,18000,18000,1,1,0,1,3,4.6,0,100
91,friends,6,60000,Spiritual,,,Cold,Sep,,38,Kashmir Ski & Snow Sports,Kashmir,India,India,48000,230400,0,0,1,1,5,4.7,1,86.03
92,friends,5,150000,Adventurous,,,Cool,Nov,,62,Osaka Food & Fun Festival,Japan,Japan,International,90000,360000,0,0,1,1,5,4.7,1,84.56
93,friends,3,30000,Spiritual,Relaxed,,Temperate,Jun,,51,Phuket Romantic Getaway,Phuket,Thailand,International,75000,180000,0,0,0,1,5,4.7,0,56.99
94,friends,3,60000,Relaxed,Spiritual,,Rainy,Jun,,49,Pattaya Water Sports & Islands,Pattaya,Thailand,International,35000,84000,0,1,0,1,4,4.3,0,91.68
95,family,5,180000,Adventurous,,,Warm,Jan,International,9,Shimla Couple Winter Escape,Shimla,India,India,42000,168000,1,0,0,0,5,4.5,0,60.12
96,couple,2,70000,Cultural,Spiritual,Party,Rainy,Dec,,31,Ranthambore Tiger Safari,Ranthambore,India,India,38000,76000,0,0,0,1,4,4.7,0,85.54
97,solo,1,50000,Relaxed,Romantic,,Cool,Aug,International,54,Dubai Thrills & Adventure,Dubai,UAE,International,85000,85000,0,0,0,1,4,4.5,0,64.68
98,friends,3,100000,Relaxed,,,Temperate,Feb,,48,Pattaya Beach & Nightlife Blast,Pattaya,Thailand,International,40000,96000,1,1,0,1,5,4.2,0,100
99,solo,1,20000,Spiritual,,,Cool,Feb,,77,Langkawi Island Paradise,Malaysia,Malaysia,International,58000,58000,0,0,0,1,5,4.5,1,65.46
100,couple,2,40000,Spiritual,,,Cold,Mar,India,43,Maldives Budget Lagoon Stay,Maldives,Maldives,International,90000,180000,0,0,0,0,4,4.5,0,36.68
101,couple,2,40000,Romantic,Relaxed,Adventurous,Cold,Jan,India,4,Goa Wellness & Heritage Tour,Goa,India,India,30000,60000,0,1,0,1,5,4.4,1,77.17
102,family,5,250000,Party,,,Rainy,Apr,,61,Kyoto Traditional Japan,Japan,Japan,International,105000,420000,0,0,0,1,6,4.8,0,54.95
103,friends,6,30000,Party,,,Temperate,Jul,,6,Manali Honeymoon in Snow,Manali,India,India,55000,264000,0,0,0,1,6,4.7,1,68.07
104,friends,4,60000,Spiritual,Cultural,,Rainy,Dec,International,11,Jaipur Luxury Palace Stay,Jaipur,India,India,75000,240000,0,0,0,0,5,4.8,0,30.48
105,friends,6,200000,Relaxed,Cultural,,Rainy,Dec,India,49,Pattaya Water Sports & Islands,Pattaya,Thailand,International,35000,168000,1,1,0,0,4,4.3,0,60.25
106,friends,6,150000,Relaxed,Romantic,Party,Cold,Nov,International,53,Dubai Luxury & Glamour,Dubai,UAE,International,120000,576000,0,2,0,1,5,4.6,1,84.89
107,family,3,40000,Party,,,Warm,Dec,,20,Andaman Island Paradise,Andaman,India,India,55000,132000,0,0,1,1,6,4.7,0,86.08
108,friends,3,100000,Party,Relaxed,Romantic,Rainy,May,International,72,Sri Lanka Scenic Train & Hike,Sri Lanka,Sri Lanka,International,38000,91200,1,1,0,1,5,4.7,0,100
109,couple,2,100000,Relaxed,,,Cold,Sep,International,65,Shanghai Modern & Bund Tour,China,China,International,88000,176000,0,0,0,1,5,4.5,0,61.52
110,family,5,120000,Adventurous,,,Cold,Dec,International,29,Darjeeling Tea & Sunrise Tour,Darjeeling,India,India,26000,104000,1,0,1,0,4,4.5,1,80.65
111,solo,1,80000,Party,Relaxed,Adventurous,Warm,Feb,,45,Mauritius Adventure Circuit,Mauritius,Mauritius,International,130000,130000,0,2,1,1,6,4.6,1,100
112,friends,5,100000,Spiritual,Relaxed,Cultural,Cool,Mar,,21,Andaman Honeymoon Escape,Andaman,India,India,80000,320000,0,0,0,1,7,4.8,0,67.54
113,friends,6,150000,Spiritual,Party,,Temperate,May,India,11,Jaipur Luxury Palace Stay,Jaipur,India,India,75000,360000,0,0,0,1,5,4.8,1,66.04
114,family,3,80000,Spiritual,Relaxed,,Warm,Apr,International,37,Kashmir Paradise on Earth,Kashmir,India,India,55000,132000,0,2,0,0,6,4.8,0,56.77
115,couple,2,70000,Relaxed,,,Temperate,Dec,International,28,Amritsar Golden Temple Pilgrimage,Amritsar,India,India,12000,24000,1,0,0,0,3,4.7,1,68.53
116,friends,3,30000,Relaxed,Party,,Warm,Jun,,65,Shanghai Modern & Bund Tour,China,China,International,88000,211200,0,1,1,1,5,4.5,1,89.68
117,family,3,180000,Romantic,,,Cool,Oct,International,52,Chiang Mai Culture & Temples,Chiang Mai,Thailand,International,38000,91200,1,0,1,1,5,4.6,0,100
118,couple,2,100000,Relaxed,Party,Romantic,Cold,Apr,International,14,Udaipur Heritage Spiritual Walk,Udaipur,India,India,28000,56000,1,0,0,0,4,4.5,0,55.91
119,solo,1,80000,Romantic,,,Cold,Dec,,22,Leh Ladakh Bike Expedition,Leh Ladakh,India,India,45000,45000,1,0,1,1,8,4.8,0,100
120,couple,2,20000,Cultural,,,Temperate,Aug,,26,Coorg Coffee & Nature Retreat,Coorg,India,India,32000,64000,0,0,0,1,4,4.5,1,66.32
121,friends,5,150000,Party,,,Temperate,Nov,International,58,"Bali Surf, Party & Explore",Bali,Indonesia,International,52000,208000,0,1,0,1,6,4.5,1,99.96
122,friends,6,30000,Romantic,,,Cold,Feb,,10,Jaipur Royal Heritage Tour,Jaipur,India,India,22000,105600,0,0,0,1,4,4.6,1,62.8
123,family,5,250000,Relaxed,Party,Adventurous,Cold,Oct,International,12,Jaipur Food & Festival Circuit,Jaipur,India,India,18000,72000,1,2,0,0,3,4.3,0,61.49
124,solo,1,10000,Cultural,Adventurous,Relaxed,Cool,Dec,International,58,"Bali Surf, Party & Explore",Bali,Indonesia,International,52000,52000,0,1,0,1,6,4.5,1,73.28
125,couple,2,70000,Party,Romantic,,Rainy,Jan,,68,Barcelona Beach & Architecture,Europe,Europe,International,160000,320000,0,1,0,1,6,4.7,0,73.94
126,friends,5,200000,Romantic,,,Warm,Oct,,50,Phuket Island Life,Phuket,Thailand,International,58000,232000,0,1,1,1,6,4.6,0,100
127,friends,6,200000,Relaxed,Romantic,Party,Cold,Mar,,45,Mauritius Adventure Circuit,Mauritius,Mauritius,International,130000,624000,0,1,0,1,6,4.6,1,72.56
128,solo,1,30000,Romantic,,,Cold,Mar,India,68,Barcelona Beach & Architecture,Europe,Europe,International,160000,160000,0,0,0,0,6,4.7,0,31.2
129,family,3,80000,Relaxed,,,Cold,Feb,,44,Mauritius Honeymoon Paradise,Mauritius,Mauritius,International,160000,384000,0,1,0,1,7,4.8,1,93.62
130,friends,4,150000,Adventurous,,,Cool,Dec,,5,Manali Snow Adventure,Manali,India,India,32000,102400,1,1,1,1,5,4.6,1,100
131,family,4,120000,Cultural,Adventurous,Party,Rainy,May,,22,Leh Ladakh Bike Expedition,Leh Ladakh,India,India,45000,144000,0,1,0,1,8,4.8,0,97.97
132,couple,2,150000,Party,Romantic,,Temperate,Sep,,61,Kyoto Traditional Japan,Japan,Japan,International,105000,210000,0,1,0,1,6,4.8,1,81.72
133,couple,2,20000,Party,Romantic,Relaxed,Rainy,Feb,International,21,Andaman Honeymoon Escape,Andaman,India,India,80000,160000,0,1,0,0,7,4.8,0,42.61
134,couple,2,40000,Romantic,Relaxed,,Temperate,Jan,International,58,"Bali Surf, Party & Explore",Bali,Indonesia,International,52000,104000,0,0,0,1,6,4.5,0,55.74
135,friends,4,30000,Adventurous,Relaxed,,Cold,Feb,,65,Shanghai Modern & Bund Tour,China,China,International,88000,281600,0,0,0,1,5,4.5,0,67.4
136,family,5,180000,Spiritual,Relaxed,,Warm,Jan,International,37,Kashmir Paradise on Earth,Kashmir,India,India,55000,220000,0,2,0,0,6,4.8,0,89.21
137,family,4,80000,Relaxed,Cultural,,Cool,Jul,,20,Andaman Island Paradise,Andaman,India,India,55000,176000,0,1,0,1,6,4.7,0,75.25
138,solo,1,20000,Party,Relaxed,,Rainy,Jun,India,64,China Great Wall & Heritage,China,China,International,100000,100000,0,0,0,0,7,4.6,0,38.34
139,family,5,40000,Romantic,Relaxed,Spiritual,Temperate,Aug,India,74,Singapore City Marvel,Singapore,Singapore,International,85000,340000,0,1,0,0,5,4.6,0,34.7
140,solo,1,30000,Cultural,,,Warm,Oct,,33,Pondicherry French Riviera,Pondicherry,India,India,24000,24000,1,0,1,1,4,4.5,1,100
141,solo,1,30000,Adventurous,Party,Spiritual,Cool,Mar,India,18,Taj Mahal & Mughal Heritage,Agra,India,India,18000,18000,1,1,1,1,3,4.6,0,100
142,solo,1,30000,Spiritual,Party,,Rainy,Aug,International,26,Coorg Coffee & Nature Retreat,Coorg,India,India,32000,32000,0,0,1,0,4,4.5,0,74.14
143,friends,5,100000,Relaxed,Romantic,,Temperate,Jul,,25,Jaisalmer Desert Magic,Jaisalmer,India,India,25000,100000,1,1,0,1,4,4.6,1,91.12
144,family,4,250000,Relaxed,Party,,Warm,Jul,,24,Rishikesh Adventure & Yoga,Rishikesh,India,India,20000,64000,1,0,0,1,4,4.5,1,85.63
145,friends,5,30000,Cultural,Romantic,,Cold,Aug,,24,Rishikesh Adventure & Yoga,Rishikesh,India,India,20000,80000,0,0,1,1,4,4.5,1,84.7
146,solo,1,50000,Cultural,Relaxed,,Warm,Nov,,58,"Bali Surf, Party & Explore",Bali,Indonesia,International,52000,52000,0,0,1,1,6,4.5,1,100
147,couple,2,150000,Party,Relaxed,Adventurous,Warm,Apr,,66,Paris Romance & Art,Europe,Europe,International,175000,350000,0,0,0,1,6,4.8,1,71.36
148,couple,2,70000,Relaxed,Spiritual,,Cool,Sep,International,78,Penang Street Food & Heritage,Malaysia,Malaysia,International,38000,76000,0,0,0,1,4,4.6,1,91.4
149,couple,2,200000,Party,,,Rainy,Jul,,36,"Pune Forts, Food & Nightlife",Pune,India,India,18000,36000,1,1,0,1,3,4.2,1,100
150,friends,6,30000,Relaxed,,,Temperate,Mar,,28,Amritsar Golden Temple Pilgrimage,Amritsar,India,India,12000,57600,0,0,0,1,3,4.7,1,67.91
151,friends,5,30000,Spiritual,Romantic,Cultural,Cool,Dec,,12,Jaipur Food & Festival Circuit,Jaipur,India,India,18000,72000,0,0,0,1,3,4.3,1,71.2
152,couple,2,40000,Party,,,Warm,Jun,,66,Paris Romance & Art,Europe,Europe,International,175000,350000,0,0,0,1,6,4.8,0,61.43
153,friends,6,60000,Relaxed,Cultural,Romantic,Temperate,Dec,,74,Singapore City Marvel,Singapore,Singapore,International,85000,408000,0,2,0,1,5,4.6,1,75.12
154,solo,1,120000,Party,,,Temperate,Nov,,74,Singapore City Marvel,Singapore,Singapore,International,85000,85000,1,1,0,1,5,4.6,1,100
155,couple,2,150000,Relaxed,,,Rainy,Mar,International,71,Sri Lanka Heritage Express,Sri Lanka,Sri Lanka,International,42000,84000,1,1,1,1,6,4.6,1,100
156,friends,3,60000,Spiritual,Romantic,Adventurous,Cold,Oct,,45,Mauritius Adventure Circuit,Mauritius,Mauritius,International,130000,312000,0,1,0,1,6,4.6,0,71.23
157,couple,2,150000,Spiritual,Romantic,Relaxed,Warm,Feb,India,22,Leh Ladakh Bike Expedition,Leh Ladakh,India,India,45000,90000,1,1,0,1,8,4.8,1,100
158,family,4,250000,Cultural,Romantic,,Temperate,Apr,,27,Ooty Nilgiri Hills Escape,Ooty,India,India,22000,70400,1,1,0,1,4,4.3,1,100
159,solo,1,50000,Party,Cultural,,Cool,Jun,,59,Bali Honeymoon Dream,Bali,Indonesia,International,95000,95000,0,0,0,1,7,4.8,0,61.08
160,friends,6,100000,Spiritual,Relaxed,Romantic,Cool,Aug,India,41,Maldives Overwater Villa Escape,Maldives,Maldives,International,180000,864000,0,2,0,0,5,4.9,0,49.57
161,family,3,40000,Romantic,,,Temperate,Oct,International,35,Kochi Heritage Coastal Tour,Kochi,India,India,22000,52800,0,0,0,0,4,4.4,0,55.43
162,friends,5,60000,Spiritual,Party,,Temperate,May,International,21,Andaman Honeymoon Escape,Andaman,India,India,80000,320000,0,0,0,0,7,4.8,0,33.01
163,solo,1,50000,Adventurous,,,Rainy,Jun,India,3,Goa Luxury Couple Retreat,Goa,India,India,65000,65000,0,0,0,1,6,4.7,1,77.28
164,friends,3,150000,Romantic,,,Cold,Jul,International,61,Kyoto Traditional Japan,Japan,Japan,International,105000,252000,0,1,1,1,6,4.8,0,98.91
