interaction_id,user_id,package_id,budget_inr,num_people,travel_style,mood,weather_preference,trip_lane,destination_query,interaction_type,interaction_strength,booked,rating_given,trip_month,days_preferred
53,user_7070,1027,15000,3,budget,party,rainy,india,Jaipur,view,0.22,Yes,4.17,Dec,3
54,user_3374,1047,23804,2,budget,relaxed,cool,india,Agra,view,0.22,Yes,4.01,Jul,5
55,user_4546,1026,31134,1,balanced,romantic,cool,india,Jaipur,save,0.48,No,4.95,Jul,6
56,user_7694,1043,30310,6,budget,romantic,temperate,india,Paris,view,0.22,Yes,3.96,Apr,3
57,user_5279,1021,96358,3,balanced,curious,warm,international,Udaipur,book,0.94,Yes,5.0,Mar,5
58,user_9183,1008,98978,2,luxury,adventurous,temperate,international,Dubai,view,0.22,Yes,4.6,Dec,4
59,user_1702,1009,89461,4,balanced,spiritual,cool,international,Varanasi,book,0.94,Yes,4.13,Feb,4
60,user_5565,1012,81676,6,balanced,relaxed,rainy,international,Bali,view,0.22,Yes,4.7,May,5
61,user_2707,1016,92581,3,budget,curious,warm,international,,agent_chat,0.62,No,4.81,Jan,5
62,user_7531,1026,28382,3,budget,spiritual,cold,india,Singapore,view,0.22,Yes,3.66,Dec,6
63,user_9652,1025,35563,3,balanced,curious,cool,india,Jaipur,book,0.94,Yes,4.95,Feb,6
64,user_5525,1037,31160,2,balanced,relaxed,rainy,india,Varanasi,save,0.48,Yes,5.0,Feb,5
65,user_3871,1045,35824,6,balanced,relaxed,cool,india,Manali,view,0.22,No,4.8,Oct,4
66,user_3192,1028,22928,2,budget,relaxed,cold,india,,save,0.48,Yes,4.5,Jun,3
67,user_2218,1001,60946,4,luxury,curious,rainy,international,Paris,view,0.22,No,4.44,Apr,7
68,user_3739,1020,95535,3,budget,adventurous,warm,international,Thailand,group_vote,0.56,No,5.0,May,6
69,user_6429,1016,93734,2,luxury,relaxed,warm,international,Singapore,group_vote,0.56,No,4.44,Dec,4
70,user_3207,1003,81344,3,budget,adventurous,warm,international,Paris,save,0.48,Yes,4.32,Jan,6
71,user_4237,1029,31209,6,balanced,curious,warm,india,Tokyo,view,0.22,No,4.82,Feb,4
72,user_9737,1012,94938,3,budget,curious,temperate,international,Singapore,view,0.22,No,4.5,May,5
73,user_1486,1020,54975,5,budget,curious,cool,international,Thailand,view,0.22,Yes,4.44,Oct,3
74,user_1558,1046,35994,2,luxury,adventurous,temperate,india,Jaipur,agent_chat,0.62,No,3.92,Apr,5
75,user_2594,1032,45313,2,luxury,spiritual,rainy,india,Thailand,save,0.48,No,4.28,Oct,4
76,user_4627,1047,35061,6,balanced,party,cool,india,,agent_chat,0.62,Yes,3.95,Jun,4
77,user_8244,1026,28968,4,luxury,adventurous,temperate,india,Kerala,view,0.22,No,3.26,Mar,4
78,user_7921,1021,73992,4,budget,party,cool,international,Thailand,agent_chat,0.62,Yes,5.0,Dec,5
79,user_8624,1043,27161,2,balanced,romantic,temperate,india,,agent_chat,0.62,No,3.9,Nov,4
80,user_8589,1036,30616,3,balanced,adventurous,temperate,india,Maldives,view,0.22,Yes,4.08,Apr,5
81,user_8744,1035,23784,5,luxury,relaxed,temperate,india,Manali,agent_chat,0.62,No,5.0,Feb,7
82,user_6693,1023,51040,2,balanced,adventurous,rainy,international,Switzerland,save,0.48,No,4.43,Jan,4
83,user_4811,1008,109862,6,luxury,romantic,warm,international,Dubai,agent_chat,0.62,Yes,5.0,Feb,4
84,user_7130,1001,79710,5,balanced,adventurous,temperate,international,Paris,view,0.22,Yes,4.67,Oct,5
85,user_8910,1026,31113,1,budget,romantic,temperate,india,Maldives,save,0.48,No,4.09,May,6
86,user_8407,1042,15000,2,balanced,adventurous,temperate,india,Udaipur,agent_chat,0.62,Yes,4.43,Jul,5
87,user_4034,1041,38280,2,luxury,adventurous,rainy,india,Shimla,group_vote,0.56,Yes,3.84,Mar,5
88,user_5257,1020,75941,2,balanced,party,cold,international,Thailand,view,0.22,Yes,5.0,Aug,5
89,user_6413,1048,24798,5,balanced,adventurous,warm,india,Agra,view,0.22,No,4.6,Feb,5
90,user_8002,1035,49644,5,balanced,romantic,rainy,india,Manali,view,0.22,Yes,5.0,Mar,4
91,user_7115,1034,34677,2,budget,curious,cool,india,Manali,book,0.94,No,4.16,Mar,4
92,user_7777,1010,94041,1,balanced,relaxed,rainy,international,Paris,view,0.22,No,4.59,Feb,6
93,user_9240,1007,92194,2,luxury,romantic,cold,international,Dubai,view,0.22,Yes,5.0,Oct,5
94,user_2152,1017,81225,3,balanced,romantic,cool,international,Singapore,save,0.48,Yes,4.97,May,7
95,user_4153,1034,32876,2,balanced,adventurous,warm,india,Goa,view,0.22,No,4.48,Jul,6
96,user_2633,1023,85513,4,budget,curious,cool,international,Switzerland,view,0.22,No,3.52,Aug,5
97,user_7123,1026,39417,3,balanced,relaxed,temperate,india,Jaipur,group_vote,0.56,Yes,5.0,Nov,4
98,user_3166,1020,28984,6,luxury,relaxed,temperate,international,,book,0.94,Yes,4.89,Dec,4
99,user_5335,1022,125396,2,balanced,relaxed,temperate,international,Switzerland,save,0.48,Yes,4.99,Jan,4
100,user_6639,1032,30885,2,balanced,relaxed,cool,india,Kerala,book,0.94,Yes,5.0,Sep,4
101,user_4096,1020,94657,6,budget,party,rainy,international,Switzerland,view,0.22,No,4.72,May,5
102,user_9627,1040,36195,6,budget,curious,rainy,india,Udaipur,view,0.22,Yes,5.0,Apr,6
103,user_6106,1023,106110,6,budget,relaxed,warm,international,,group_vote,0.56,No,3.95,Mar,6
104,user_9305,1013,78016,3,balanced,curious,rainy,international,Maldives,view,0.22,Yes,4.39,Oct,5
105,user_4254,1048,37423,2,luxury,party,warm,india,Udaipur,view,0.22,Yes,4.55,Nov,7
106,user_9793,1046,28230,1,budget,party,rainy,india,Goa,view,0.22,Yes,5.0,Aug,4
107,user_9538,1027,33631,2,luxury,adventurous,temperate,india,Varanasi,agent_chat,0.62,Yes,3.89,Jun,4
108,user_3057,1037,20774,2,budget,romantic,cold,india,Varanasi,view,0.22,No,4.92,Dec,7
109,user_7476,1037,36589,1,luxury,romantic,rainy,india,Varanasi,agent_chat,0.62,No,4.51,Aug,3
110,user_8035,1031,32362,2,balanced,party,rainy,india,,view,0.22,No,4.15,Aug,6
111,user_4481,1047,28483,4,balanced,curious,warm,india,Agra,book,0.94,Yes,5.0,Mar,7
112,user_3621,1044,26397,2,balanced,romantic,warm,india,Thailand,group_vote,0.56,No,3.99,Mar,4
113,user_5329,1024,15000,2,luxury,adventurous,cool,india,Dubai,view,0.22,No,3.55,Mar,5
114,user_3454,1026,20587,2,budget,spiritual,rainy,india,Udaipur,group_vote,0.56,No,3.74,Aug,6
115,user_9176,1030,50078,1,balanced,romantic,cool,india,Tokyo,book,0.94,No,3.82,Oct,6
116,user_8629,1007,97126,2,balanced,adventurous,temperate,international,Dubai,view,0.22,No,4.23,Jun,5
117,user_1534,1010,33259,4,budget,relaxed,temperate,india,Udaipur,view,0.22,No,4.06,Nov,7
118,user_1048,1025,20638,2,budget,spiritual,temperate,india,Goa,view,0.22,Yes,4.07,Jun,6
119,user_7559,1040,27900,1,balanced,spiritual,cool,india,Udaipur,agent_chat,0.62,No,4.59,Oct,4
120,user_8755,1020,53721,2,luxury,adventurous,temperate,international,Thailand,view,0.22,No,4.06,Dec,5
121,user_5849,1035,149113,2,budget,adventurous,warm,international,Thailand,view,0.22,No,4.27,Oct,5
122,user_2446,1036,21021,6,luxury,curious,warm,india,Manali,group_vote,0.56,No,4.05,Mar,6
123,user_7838,1005,99264,2,luxury,romantic,temperate,international,Tokyo,save,0.48,Yes,4.77,Feb,4
124,user_8488,1028,35496,6,budget,spiritual,temperate,india,,book,0.94,Yes,4.44,Oct,4
125,user_7495,1014,83034,3,luxury,relaxed,cool,international,,view,0.22,No,3.08,Feb,6
126,user_3118,1011,112025,4,luxury,relaxed,warm,international,Singapore,view,0.22,Yes,5.0,Aug,5
127,user_8804,1002,94024,4,budget,curious,temperate,international,Bali,view,0.22,No,4.34,Jan,4
128,user_1971,1024,81393,4,balanced,romantic,cool,international,,view,0.22,No,3.57,Aug,4
129,user_4145,1026,49306,6,balanced,relaxed,warm,india,Jaipur,group_vote,0.56,Yes,5.0,Mar,3
130,user_1335,1041,19684,5,balanced,romantic,temperate,india,Udaipur,view,0.22,Yes,5.0,Aug,4
131,user_8168,1025,67960,2,balanced,curious,warm,international,Agra,view,0.22,No,4.92,Mar,4
132,user_6118,1008,61858,4,balanced,relaxed,temperate,international,Dubai,view,0.22,Yes,5.0,Jul,3
133,user_7937,1048,34672,5,balanced,spiritual,cool,india,Agra,agent_chat,0.62,Yes,4.6,Mar,5
134,user_5757,1007,107341,3,luxury,romantic,cool,international,Dubai,save,0.48,No,3.81,Jul,4
135,user_7384,1012,78302,3,budget,curious,warm,international,Bali,book,0.94,Yes,4.83,Jan,4
136,user_7836,1020,37979,5,luxury,adventurous,warm,india,,agent_chat,0.62,No,3.81,Sep,5
137,user_3901,1031,80017,3,luxury,adventurous,cool,international,Maldives,save,0.48,No,3.54,Mar,7
138,user_6180,1040,18523,2,balanced,adventurous,cool,india,Bali,save,0.48,Yes,3.89,Aug,4
139,user_2007,1015,107962,4,budget,relaxed,warm,international,Maldives,save,0.48,Yes,5.0,Mar,3
140,user_6458,1022,26943,5,budget,relaxed,rainy,india,,book,0.94,Yes,4.35,Sep,4
141,user_9287,1016,40826,2,budget,relaxed,cool,international,Goa,group_vote,0.56,No,3.95,Jun,3
142,user_8781,1016,27950,4,budget,relaxed,warm,india,Shimla,book,0.94,Yes,4.32,Jun,5
143,user_5664,1035,97140,1,balanced,curious,rainy,international,,view,0.22,No,3.82,Dec,5
144,user_6523,1035,26751,4,budget,spiritual,rainy,india,Agra,view,0.22,No,3.34,Sep,4
145,user_2573,1023,56958,4,budget,curious,cool,international,Switzerland,book,0.94,Yes,3.79,Oct,5
146,user_7037,1026,26114,2,budget,romantic,temperate,india,Jaipur,book,0.94,No,3.83,Sep,4
147,user_8583,1008,83050,5,balanced,relaxed,warm,international,Dubai,save,0.48,Yes,5.0,Feb,4
148,user_7167,1025,33535,2,balanced,relaxed,warm,india,,save,0.48,Yes,4.48,Aug,5
149,user_4400,1008,86933,2,balanced,relaxed,temperate,international,Jaipur,book,0.94,No,3.87,Apr,5
150,user_6690,1014,111153,2,balanced,relaxed,cool,international,Maldives,book,0.94,Yes,4.82,Mar,5
151,user_7533,1011,67620,2,balanced,relaxed,cool,international,Jaipur,save,0.48,Yes,3.93,Dec,5
152,user_8763,1039,38631,3,luxury,relaxed,cool,india,,view,0.22,Yes,4.29,May,5
153,user_2631,1031,21893,4,balanced,adventurous,rainy,india,Kerala,view,0.22,Yes,4.95,Apr,7
154,user_3669,1020,91002,6,balanced,spiritual,temperate,international,Thailand,agent_chat,0.62,Yes,5.0,Oct,4
155,user_5798,1036,20424,2,budget,relaxed,warm,india,Manali,view,0.22,Yes,5.0,Oct,4
156,user_6437,1035,26335,2,balanced,curious,rainy,india,,book,0.94,Yes,4.11,Jan,5
157,user_7882,1005,69295,5,budget,curious,warm,international,Manali,agent_chat,0.62,No,3.9,Jun,3
158,user_8192,1046,32564,2,balanced,relaxed,cool,india,Shimla,view,0.22,No,3.64,Dec,5
159,user_4833,1004,32882,2,balanced,relaxed,cool,india,,book,0.94,No,2.95,Jul,6
160,user_9338,1028,93673,2,luxury,party,warm,international,,group_vote,0.56,Yes,4.65,Jul,4
161,user_1529,1009,67192,2,balanced,relaxed,rainy,international,Switzerland,view,0.22,No,3.57,Apr,4
162,user_2406,1033,26454,5,balanced,curious,warm,india,Kerala,view,0.22,Yes,4.56,Aug,7
163,user_8729,1047,15237,4,budget,relaxed,temperate,india,,view,0.22,No,3.97,Apr,5
164,user_7735,1045,30377,3,budget,relaxed,cool,india,Shimla,view,0.22,Yes,5.0,Aug,4
165,user_1151,1014,75447,3,luxury,romantic,rainy,international,,view,0.22,No,3.96,May,3
166,user_9879,1004,67531,4,balanced,spiritual,rainy,international,Tokyo,view,0.22,No,4.24,Dec,6
167,user_6005,1031,31188,2,budget,adventurous,temperate,india,Kerala,book,0.94,Yes,4.43,Sep,6
168,user_2931,1020,22670,2,budget,spiritual,warm,india,,save,0.48,No,3.52,Apr,6
169,user_5244,1036,36298,2,balanced,curious,rainy,india,Manali,group_vote,0.56,Yes,4.3,May,4
170,user_8583,1022,126496,1,balanced,relaxed,warm,international,Switzerland,view,0.22,No,4.98,Jan,4
171,user_5481,1013,42273,2,balanced,curious,cool,india,Paris,view,0.22,No,2.84,Aug,4
172,user_7512,1045,27561,1,budget,relaxed,rainy,india,Shimla,book,0.94,Yes,5.0,Jun,5
173,user_9504,1029,52109,3,luxury,party,temperate,india,Goa,view,0.22,Yes,4.53,Jan,5
174,user_5159,1015,90736,2,luxury,party,warm,international,Maldives,group_vote,0.56,No,4.99,Dec,4
175,user_4019,1037,23271,1,balanced,spiritual,cool,india,Varanasi,save,0.48,Yes,5.0,Sep,5
176,user_2705,1043,46142,4,luxury,spiritual,warm,india,,view,0.22,No,4.62,Sep,4
177,user_4135,1034,30966,2,balanced,relaxed,rainy,india,Shimla,view,0.22,No,4.43,Feb,4
178,user_3358,1016,49606,5,balanced,party,cool,international,,book,0.94,Yes,3.41,Oct,7
179,user_4933,1018,27985,3,balanced,party,warm,india,,group_vote,0.56,No,3.59,Nov,5
180,user_1226,1012,119664,1,budget,romantic,rainy,international,Manali,save,0.48,Yes,4.69,Aug,3
181,user_7543,1028,42204,5,balanced,romantic,cool,india,Goa,view,0.22,Yes,5.0,Jun,4
182,user_9496,1026,34487,5,balanced,spiritual,temperate,india,Shimla,save,0.48,Yes,4.8,Dec,7
183,user_8952,1008,76130,5,balanced,relaxed,temperate,international,,save,0.48,No,4.25,Jun,4
184,user_7142,1038,25675,1,budget,adventurous,rainy,india,Varanasi,view,0.22,No,4.16,Jun,4
185,user_2468,1003,101767,2,luxury,curious,rainy,international,Shimla,group_vote,0.56,Yes,4.63,Jul,5
186,user_6269,1027,39337,3,balanced,romantic,cool,india,Jaipur,view,0.22,No,4.89,Feb,4
187,user_1981,1038,36360,6,budget,party,warm,india,Kerala,save,0.48,No,4.04,Aug,5
188,user_5288,1043,44923,1,balanced,curious,warm,india,Shimla,group_vote,0.56,Yes,4.91,Jan,6
189,user_6578,1046,27122,1,luxury,relaxed,warm,india,Agra,group_vote,0.56,No,4.81,Aug,4
190,user_8766,1007,93970,2,luxury,relaxed,cool,international,,view,0.22,Yes,4.74,Feb,7
191,user_5110,1016,76639,2,balanced,adventurous,rainy,international,Singapore,group_vote,0.56,No,4.43,Jul,6
192,user_4158,1031,15713,6,budget,curious,temperate,india,Kerala,save,0.48,No,4.52,Nov,5
193,user_3171,1009,83086,3,balanced,romantic,warm,international,Maldives,book,0.94,No,4.02,May,5
194,user_3619,1008,112233,4,luxury,curious,cool,international,Dubai,view,0.22,Yes,5.0,May,5
195,user_7206,1023,55720,2,budget,romantic,temperate,international,Switzerland,view,0.22,No,3.97,May,3
196,user_6527,1029,33903,3,balanced,spiritual,temperate,india,Goa,agent_chat,0.62,Yes,4.47,Aug,6
197,user_2536,1020,100129,3,luxury,adventurous,rainy,international,Paris,group_vote,0.56,No,3.91,Apr,6
198,user_1222,1020,34620,5,balanced,romantic,rainy,india,Bali,view,0.22,No,3.24,May,4
199,user_3995,1020,69598,6,budget,romantic,cold,international,Manali,view,0.22,No,3.84,Jul,4
200,user_9088,1036,35289,2,balanced,adventurous,warm,india,Goa,group_vote,0.56,Yes,4.32,Jan,4
201,user_8747,1035,15000,5,budget,relaxed,cold,india,,group_vote,0.56,No,4.52,May,4
202,user_1726,1046,42675,4,balanced,party,rainy,india,Agra,group_vote,0.56,No,4.42,Aug,3
203,user_3695,1004,87528,5,budget,spiritual,cool,international,Tokyo,agent_chat,0.62,Yes,4.5,Oct,5
204,user_2052,1001,21473,4,balanced,romantic,rainy,india,,save,0.48,No,3.49,Jul,3
205,user_5805,1017,45919,4,luxury,romantic,warm,international,Singapore,view,0.22,Yes,5.0,Sep,4
206,user_7578,1019,92293,1,budget,romantic,warm,international,Shimla,book,0.94,Yes,5.0,Apr,7
207,user_9601,1044,37190,2,luxury,spiritual,warm,india,Shimla,view,0.22,Yes,4.79,Jul,6
208,user_2711,1041,93464,2,balanced,adventurous,warm,international,Thailand,save,0.48,No,4.56,Oct,4
209,user_5824,1039,29682,6,balanced,romantic,temperate,india,Varanasi,view,0.22,Yes,4.15,Oct,5
210,user_1938,1041,26291,6,budget,party,cool,india,Udaipur,save,0.48,Yes,4.15,Jun,4
211,user_2752,1033,22719,3,balanced,romantic,warm,india,Dubai,agent_chat,0.62,No,4.23,Feb,7
212,user_7597,1040,34076,6,budget,party,cool,india,,book,0.94,Yes,4.63,Feb,7
213,user_4411,1027,116480,3,balanced,relaxed,cold,international,Maldives,book,0.94,Yes,3.85,Feb,4
214,user_7379,1001,57337,4,budget,party,temperate,international,Paris,book,0.94,Yes,4.54,Jun,5
215,user_7639,1042,24518,1,budget,relaxed,rainy,india,Udaipur,group_vote,0.56,No,4.0,Apr,6
216,user_4764,1044,31153,2,balanced,relaxed,rainy,india,Dubai,book,0.94,Yes,5.0,Mar,4
217,user_8174,1031,28319,2,balanced,adventurous,warm,india,Shimla,group_vote,0.56,No,3.55,Dec,5
218,user_5551,1045,22822,4,luxury,party,warm,india,Shimla,view,0.22,No,4.24,Sep,3
219,user_9351,1018,104132,2,balanced,party,cool,international,Singapore,view,0.22,No,4.73,Oct,4
220,user_8462,1009,89997,4,balanced,relaxed,warm,international,Shimla,book,0.94,Yes,4.61,Apr,6
221,user_7379,1002,33659,2,balanced,spiritual,cool,india,,view,0.22,No,3.1,Mar,4
222,user_4352,1045,31520,2,luxury,spiritual,temperate,india,Shimla,save,0.48,No,4.0,Apr,4
223,user_2583,1035,34333,4,luxury,adventurous,rainy,india,Manali,view,0.22,Yes,5.0,Jun,5
224,user_5459,1006,21109,3,balanced,adventurous,rainy,india,Singapore,book,0.94,No,3.6,Jan,5
225,user_1146,1014,136914,5,luxury,adventurous,temperate,international,Udaipur,view,0.22,Yes,3.87,Oct,4
226,user_7847,1011,93842,3,luxury,curious,rainy,international,Bali,view,0.22,Yes,4.97,May,5
227,user_2992,1020,41824,6,balanced,party,temperate,india,Maldives,agent_chat,0.62,No,4.5,Mar,5
228,user_5276,1040,40000,2,balanced,adventurous,warm,india,Udaipur,save,0.48,Yes,4.88,Aug,4
229,user_2713,1042,54246,6,balanced,curious,warm,india,Paris,view,0.22,Yes,5.0,Apr,6
230,user_4388,1024,84803,1,luxury,party,temperate,international,Switzerland,view,0.22,Yes,4.36,Feb,4
231,user_1416,1022,106327,1,luxury,adventurous,rainy,international,Switzerland,view,0.22,Yes,4.25,Jan,4
232,user_7215,1006,108158,6,balanced,spiritual,rainy,international,Tokyo,book,0.94,Yes,4.38,May,6
233,user_8433,1038,25999,1,budget,spiritual,rainy,india,Varanasi,agent_chat,0.62,Yes,5.0,Mar,4
234,user_5980,1007,99705,1,budget,curious,temperate,international,Dubai,view,0.22,Yes,4.57,Oct,5
235,user_6641,1013,79994,4,balanced,party,warm,international,Maldives,group_vote,0.56,No,4.87,May,4
236,user_3975,1017,143778,2,luxury,party,warm,international,Singapore,view,0.22,Yes,5.0,May,5
237,user_3174,1004,58855,2,balanced,curious,temperate,international,Singapore,group_vote,0.56,Yes,4.27,Apr,4
238,user_5606,1043,37084,2,balanced,relaxed,temperate,india,Shimla,view,0.22,Yes,4.8,Jul,4
239,user_1713,1028,30141,2,budget,spiritual,rainy,india,,group_vote,0.56,Yes,4.34,Dec,5
240,user_2278,1037,32370,1,balanced,relaxed,warm,india,Varanasi,save,0.48,Yes,4.79,Apr,4
241,user_4789,1014,90611,3,balanced,romantic,rainy,international,Switzerland,book,0.94,No,4.51,Dec,5
242,user_3303,1020,109141,1,budget,party,warm,international,Thailand,agent_chat,0.62,Yes,4.96,Oct,5
243,user_8123,1034,89088,1,balanced,spiritual,temperate,international,Jaipur,book,0.94,Yes,4.06,Apr,6
244,user_1719,1019,46507,2,balanced,romantic,rainy,india,Dubai,save,0.48,No,2.95,Mar,5
245,user_2234,1026,15000,4,balanced,relaxed,warm,india,Jaipur,agent_chat,0.62,Yes,5.0,Aug,4
246,user_6044,1042,34496,2,balanced,party,cool,india,Jaipur,group_vote,0.56,Yes,3.69,Aug,5
247,user_1326,1022,96351,2,budget,curious,cool,international,Switzerland,agent_chat,0.62,Yes,4.53,Jan,6
248,user_5702,1029,42217,2,budget,party,rainy,india,Goa,agent_chat,0.62,Yes,5.0,Jun,6
249,user_1991,1035,15029,3,luxury,curious,temperate,india,Manali,save,0.48,Yes,4.56,May,5
250,user_6555,1015,79887,4,balanced,relaxed,rainy,international,Maldives,view,0.22,No,4.24,Mar,4
251,user_2387,1033,22823,5,balanced,romantic,rainy,india,Kerala,save,0.48,Yes,4.71,Sep,5
252,user_1423,1013,51202,2,luxury,adventurous,temperate,international,Jaipur,view,0.22,No,3.46,Jan,4
253,user_3659,1039,94374,6,budget,spiritual,cool,international,,view,0.22,Yes,3.88,Dec,3
254,user_8136,1023,27550,2,balanced,romantic,cool,india,,save,0.48,No,3.05,Sep,6
255,user_9133,1031,18088,4,balanced,party,temperate,india,Kerala,view,0.22,No,3.86,Jul,5
256,user_8702,1035,41578,4,balanced,curious,cool,india,Manali,group_vote,0.56,Yes,5.0,May,5
257,user_5671,1006,96576,4,luxury,curious,rainy,international,Tokyo,group_vote,0.56,Yes,5.0,Dec,5
258,user_7887,1024,84169,3,balanced,relaxed,warm,international,Switzerland,agent_chat,0.62,No,5.0,Dec,3
259,user_7411,1003,56069,2,budget,curious,cold,international,Switzerland,view,0.22,No,4.35,Aug,4
260,user_6820,1045,15000,2,balanced,adventurous,temperate,india,Shimla,book,0.94,Yes,4.57,Jul,7
261,user_7398,1046,21088,5,luxury,romantic,rainy,india,Agra,view,0.22,No,4.26,Mar,4
262,user_7555,1004,58809,1,balanced,spiritual,cool,international,Switzerland,view,0.22,No,3.27,Sep,7
263,user_3068,1004,78301,1,budget,curious,rainy,international,Tokyo,view,0.22,No,4.91,Oct,7
264,user_2170,1014,82532,2,budget,relaxed,warm,international,Maldives,view,0.22,Yes,4.81,May,5
