package_id,title,destination,country,market,region,trip_type,package_tier,price_inr,duration_days,rating,review_count,best_months,weather_profile,mood_profile,ideal_for,tags,family_friendly,solo_friendly,honeymoon_popular,group_friendly,admin_id,travel_style_bias
1017,Singapore Signature Journey,Singapore,Singapore,INTERNATIONAL,Southeast Asia,City Break,PREMIUM,81000,5,4.4,39,"Feb,Mar,Apr",warm,"efficient,curious,modern","families,urban travelers","city,food,theme parks,shopping",Yes,Yes,Moderate,Yes,admin_premium,balanced
1018,Singapore Premium Discovery,Singapore,Singapore,INTERNATIONAL,Southeast Asia,City Break,PREMIUM_PLUS,90000,6,4.58,46,"Feb,Mar,Apr",warm,"efficient,curious,modern","families,urban travelers","city,food,theme parks,shopping",Yes,Yes,Moderate,Yes,admin_b2b,luxury
1019,Thailand Essentials Escape,Thailand,Thailand,INTERNATIONAL,Southeast Asia,Beach & Sun,BUDGET,59000,4,4.25,36,"Nov,Dec,Jan,Feb,Mar",warm,"party,relaxed,lively","friend groups,couples","islands,nightlife,street food,beaches",Yes,Yes,Moderate,Yes,admin_premium,budget
1020,Thailand Signature Journey,Thailand,Thailand,INTERNATIONAL,Southeast Asia,Beach & Sun,PREMIUM,68000,5,4.48,43,"Nov,Dec,Jan,Feb,Mar",warm,"party,relaxed,lively","friend groups,couples","islands,nightlife,street food,beaches",Yes,Yes,Moderate,Yes,admin_b2b,balanced
1021,Thailand Premium Discovery,Thailand,Thailand,INTERNATIONAL,Southeast Asia,Beach & Sun,PREMIUM_PLUS,77000,6,4.66,50,"Nov,Dec,Jan,Feb,Mar",warm,"party,relaxed,lively","friend groups,couples","islands,nightlife,street food,beaches",Yes,Yes,Moderate,Yes,admin_west,luxury
1022,Switzerland Essentials Escape,Switzerland,Switzerland,INTERNATIONAL,Europe,Adventure & Outdoors,BUDGET,125000,4,4.33,40,"Jun,Jul,Aug,Dec,Jan,Feb",cold,"scenic,refined,calm,relaxed","couples,nature lovers","alps,trains,snow,lakes",Yes,Moderate,Yes,Moderate,admin_b2b,budget
1023,Switzerland Signature Journey,Switzerland,Switzerland,INTERNATIONAL,Europe,Adventure & Outdoors,PREMIUM,134000,5,4.56,47,"Jun,Jul,Aug,Dec,Jan,Feb",cold,"scenic,refined,calm,relaxed","couples,nature lovers","alps,trains,snow,lakes",Yes,Moderate,Yes,Moderate,admin_west,balanced
1024,Switzerland Premium Discovery,Switzerland,Switzerland,INTERNATIONAL,Europe,Adventure & Outdoors,PREMIUM_PLUS,143000,6,4.5,54,"Jun,Jul,Aug,Dec,Jan,Feb",cold,"scenic,refined,calm,relaxed","couples,nature lovers","alps,trains,snow,lakes",Yes,Moderate,Yes,Moderate,admin_curated,luxury
1025,Jaipur Essentials Escape,Jaipur,India,INDIA,Rajasthan,Culture & History,BUDGET,24000,4,4.41,44,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"curious,royal,colorful","families,culture lovers","forts,palaces,markets,heritage",Yes,Yes,Moderate,Yes,admin_west,budget
1026,Jaipur Signature Journey,Jaipur,India,INDIA,Rajasthan,Culture & History,PREMIUM,33000,5,4.4,51,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"curious,royal,colorful","families,culture lovers","forts,palaces,markets,heritage",Yes,Yes,Moderate,Yes,admin_curated,balanced
1027,Jaipur Premium Discovery,Jaipur,India,INDIA,Rajasthan,Culture & History,PREMIUM_PLUS,42000,6,4.58,58,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"curious,royal,colorful","families,culture lovers","forts,palaces,markets,heritage",Yes,Yes,Moderate,Yes,admin_premium,luxury
1028,Goa Essentials Escape,Goa,India,INDIA,Goa,Beach & Sun,BUDGET,27000,4,4.25,48,"Nov,Dec,Jan,Feb",warm,"relaxed,party,beachy","friends,couples","beaches,cafes,nightlife,water sports",Yes,Yes,Moderate,Yes,admin_curated,budget
1029,Goa Signature Journey,Goa,India,INDIA,Goa,Beach & Sun,PREMIUM,36000,5,4.48,55,"Nov,Dec,Jan,Feb",warm,"relaxed,party,beachy","friends,couples","beaches,cafes,nightlife,water sports",Yes,Yes,Moderate,Yes,admin_premium,balanced
1030,Goa Premium Discovery,Goa,India,INDIA,Goa,Beach & Sun,PREMIUM_PLUS,45000,6,4.66,62,"Nov,Dec,Jan,Feb",warm,"relaxed,party,beachy","friends,couples","beaches,cafes,nightlife,water sports",Yes,Yes,Moderate,Yes,admin_b2b,luxury
1031,Kerala Essentials Escape,Kerala,India,INDIA,Kerala,Wellness & Spa,BUDGET,32000,4,4.33,52,"Sep,Oct,Nov,Dec,Jan,Feb,Mar",rainy,"relaxed,healing,lush","couples,wellness travelers","backwaters,wellness,houseboats,nature",Yes,Yes,Yes,Yes,admin_premium,budget
1032,Kerala Signature Journey,Kerala,India,INDIA,Kerala,Wellness & Spa,PREMIUM,41000,5,4.56,59,"Sep,Oct,Nov,Dec,Jan,Feb,Mar",rainy,"relaxed,healing,lush","couples,wellness travelers","backwaters,wellness,houseboats,nature",Yes,Yes,Yes,Yes,admin_b2b,balanced
1033,Kerala Premium Discovery,Kerala,India,INDIA,Kerala,Wellness & Spa,PREMIUM_PLUS,50000,6,4.5,66,"Sep,Oct,Nov,Dec,Jan,Feb,Mar",rainy,"relaxed,healing,lush","couples,wellness travelers","backwaters,wellness,houseboats,nature",Yes,Yes,Yes,Yes,admin_west,luxury
1034,Manali Essentials Escape,Manali,India,INDIA,Himachal Pradesh,Adventure & Outdoors,BUDGET,28000,4,4.41,56,"Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun",cool,"adventurous,scenic,cool,relaxed","couples,adventure travelers","mountains,snow,road trips,trekking",Moderate,Yes,Yes,Yes,admin_b2b,budget
1035,Manali Signature Journey,Manali,India,INDIA,Himachal Pradesh,Adventure & Outdoors,PREMIUM,37000,5,4.4,63,"Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun",cool,"adventurous,scenic,cool,relaxed","couples,adventure travelers","mountains,snow,road trips,trekking",Moderate,Yes,Yes,Yes,admin_west,balanced
1036,Manali Premium Discovery,Manali,India,INDIA,Himachal Pradesh,Adventure & Outdoors,PREMIUM_PLUS,46000,6,4.58,70,"Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun",cool,"adventurous,scenic,cool,relaxed","couples,adventure travelers","mountains,snow,road trips,trekking",Moderate,Yes,Yes,Yes,admin_curated,luxury
1037,Varanasi Essentials Escape,Varanasi,India,INDIA,Uttar Pradesh,Culture & History,BUDGET,21000,4,4.25,60,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"spiritual,curious,reflective","solo travelers,culture lovers","ghats,rituals,history,temples",Moderate,Yes,Moderate,Moderate,admin_west,budget
1038,Varanasi Signature Journey,Varanasi,India,INDIA,Uttar Pradesh,Culture & History,PREMIUM,30000,5,4.48,67,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"spiritual,curious,reflective","solo travelers,culture lovers","ghats,rituals,history,temples",Moderate,Yes,Moderate,Moderate,admin_curated,balanced
1039,Varanasi Premium Discovery,Varanasi,India,INDIA,Uttar Pradesh,Culture & History,PREMIUM_PLUS,39000,6,4.66,74,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"spiritual,curious,reflective","solo travelers,culture lovers","ghats,rituals,history,temples",Moderate,Yes,Moderate,Moderate,admin_premium,luxury
1040,Udaipur Essentials Escape,Udaipur,India,INDIA,Rajasthan,Luxury & Romance,BUDGET,26000,4,4.33,64,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"romantic,polished,calm","couples,culture lovers","lakes,palaces,heritage,romance",Yes,Moderate,Yes,Moderate,admin_curated,budget
1041,Udaipur Signature Journey,Udaipur,India,INDIA,Rajasthan,Luxury & Romance,PREMIUM,35000,5,4.56,71,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"romantic,polished,calm","couples,culture lovers","lakes,palaces,heritage,romance",Yes,Moderate,Yes,Moderate,admin_premium,balanced
1042,Udaipur Premium Discovery,Udaipur,India,INDIA,Rajasthan,Luxury & Romance,PREMIUM_PLUS,44000,6,4.5,78,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"romantic,polished,calm","couples,culture lovers","lakes,palaces,heritage,romance",Yes,Moderate,Yes,Moderate,admin_b2b,luxury
1043,Shimla Essentials Escape,Shimla,India,INDIA,Himachal Pradesh,Adventure & Outdoors,BUDGET,23000,4,4.41,68,"Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun",cool,"scenic,calm,nostalgic,relaxed","families,couples","hills,walks,pines,views",Yes,Moderate,Moderate,Yes,admin_premium,budget
1044,Shimla Signature Journey,Shimla,India,INDIA,Himachal Pradesh,Adventure & Outdoors,PREMIUM,32000,5,4.4,75,"Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun",cool,"scenic,calm,nostalgic,relaxed","families,couples","hills,walks,pines,views",Yes,Moderate,Moderate,Yes,admin_b2b,balanced
1045,Shimla Premium Discovery,Shimla,India,INDIA,Himachal Pradesh,Adventure & Outdoors,PREMIUM_PLUS,41000,6,4.58,82,"Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun",cool,"scenic,calm,nostalgic,relaxed","families,couples","hills,walks,pines,views",Yes,Moderate,Moderate,Yes,admin_west,luxury
1046,Agra Essentials Escape,Agra,India,INDIA,Uttar Pradesh,Culture & History,BUDGET,22000,4,4.25,72,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"curious,classic,heritage","families,short-break travelers","taj mahal,monuments,heritage,history",Yes,Yes,Moderate,Moderate,admin_b2b,budget
1047,Agra Signature Journey,Agra,India,INDIA,Uttar Pradesh,Culture & History,PREMIUM,31000,5,4.48,79,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"curious,classic,heritage","families,short-break travelers","taj mahal,monuments,heritage,history",Yes,Yes,Moderate,Moderate,admin_west,balanced
1048,Agra Premium Discovery,Agra,India,INDIA,Uttar Pradesh,Culture & History,PREMIUM_PLUS,40000,6,4.66,86,"Oct,Nov,Dec,Jan,Feb,Mar",warm,"curious,classic,heritage","families,short-break travelers","taj mahal,monuments,heritage,history",Yes,Yes,Moderate,Moderate,admin_curated,luxury
